baseline                        , data                                                                                                                                     , train                                                                                                                                    , output                                                                                                                                                                              , P_macro           , R_macro           , F1_macro         , P_micro           , R_micro           , F1_micro         , predicted, expected, ok
oracle_aspects_majority_polarity, /Users/rogerbaigess/Desktop/IA/4t/GML/Aspect-Based-Sentiment-Analysis-with-LLMs/distribucio-codi-i-dades-12-03-26/ABSA/dataset/devel.json, /Users/rogerbaigess/Desktop/IA/4t/GML/Aspect-Based-Sentiment-Analysis-with-LLMs/distribucio-codi-i-dades-12-03-26/ABSA/dataset/train.json, /Users/rogerbaigess/Desktop/IA/4t/GML/Aspect-Based-Sentiment-Analysis-with-LLMs/distribucio-codi-i-dades-12-03-26/ABSA/outputs/baselines/oracle_aspects_majority_polarity.devel.json, 72.56944444444446 , 72.56944444444446 , 72.56944444444446, 71.80616740088105 , 71.80616740088105 , 71.80616740088105,       454,      454, 326
top3_positive                   , /Users/rogerbaigess/Desktop/IA/4t/GML/Aspect-Based-Sentiment-Analysis-with-LLMs/distribucio-codi-i-dades-12-03-26/ABSA/dataset/devel.json, /Users/rogerbaigess/Desktop/IA/4t/GML/Aspect-Based-Sentiment-Analysis-with-LLMs/distribucio-codi-i-dades-12-03-26/ABSA/dataset/train.json, /Users/rogerbaigess/Desktop/IA/4t/GML/Aspect-Based-Sentiment-Analysis-with-LLMs/distribucio-codi-i-dades-12-03-26/ABSA/outputs/baselines/top3_positive.devel.json                   , 60.35353535353534 , 56.77669552669554 , 55.64393939393938, 60.35353535353536 , 52.6431718061674  , 56.23529411764706,       396,      454, 239
top3_majority                   , /Users/rogerbaigess/Desktop/IA/4t/GML/Aspect-Based-Sentiment-Analysis-with-LLMs/distribucio-codi-i-dades-12-03-26/ABSA/dataset/devel.json, /Users/rogerbaigess/Desktop/IA/4t/GML/Aspect-Based-Sentiment-Analysis-with-LLMs/distribucio-codi-i-dades-12-03-26/ABSA/dataset/train.json, /Users/rogerbaigess/Desktop/IA/4t/GML/Aspect-Based-Sentiment-Analysis-with-LLMs/distribucio-codi-i-dades-12-03-26/ABSA/outputs/baselines/top3_majority.devel.json                   , 60.35353535353534 , 56.77669552669554 , 55.64393939393938, 60.35353535353536 , 52.6431718061674  , 56.23529411764706,       396,      454, 239
top4_positive                   , /Users/rogerbaigess/Desktop/IA/4t/GML/Aspect-Based-Sentiment-Analysis-with-LLMs/distribucio-codi-i-dades-12-03-26/ABSA/dataset/devel.json, /Users/rogerbaigess/Desktop/IA/4t/GML/Aspect-Based-Sentiment-Analysis-with-LLMs/distribucio-codi-i-dades-12-03-26/ABSA/dataset/train.json, /Users/rogerbaigess/Desktop/IA/4t/GML/Aspect-Based-Sentiment-Analysis-with-LLMs/distribucio-codi-i-dades-12-03-26/ABSA/outputs/baselines/top4_positive.devel.json                   , 51.89393939393939 , 63.393759018759035, 54.50899689536052, 51.89393939393939 , 60.352422907488986, 55.80448065173116,       528,      454, 274
top4_majority                   , /Users/rogerbaigess/Desktop/IA/4t/GML/Aspect-Based-Sentiment-Analysis-with-LLMs/distribucio-codi-i-dades-12-03-26/ABSA/dataset/devel.json, /Users/rogerbaigess/Desktop/IA/4t/GML/Aspect-Based-Sentiment-Analysis-with-LLMs/distribucio-codi-i-dades-12-03-26/ABSA/dataset/train.json, /Users/rogerbaigess/Desktop/IA/4t/GML/Aspect-Based-Sentiment-Analysis-with-LLMs/distribucio-codi-i-dades-12-03-26/ABSA/outputs/baselines/top4_majority.devel.json                   , 51.89393939393939 , 63.393759018759035, 54.50899689536052, 51.89393939393939 , 60.352422907488986, 55.80448065173116,       528,      454, 274
top2_positive                   , /Users/rogerbaigess/Desktop/IA/4t/GML/Aspect-Based-Sentiment-Analysis-with-LLMs/distribucio-codi-i-dades-12-03-26/ABSA/dataset/devel.json, /Users/rogerbaigess/Desktop/IA/4t/GML/Aspect-Based-Sentiment-Analysis-with-LLMs/distribucio-codi-i-dades-12-03-26/ABSA/dataset/train.json, /Users/rogerbaigess/Desktop/IA/4t/GML/Aspect-Based-Sentiment-Analysis-with-LLMs/distribucio-codi-i-dades-12-03-26/ABSA/outputs/baselines/top2_positive.devel.json                   , 67.04545454545455 , 44.319985569985555, 50.36375661375663, 67.04545454545455 , 38.986784140969164, 49.30362116991644,       264,      454, 177
top2_majority                   , /Users/rogerbaigess/Desktop/IA/4t/GML/Aspect-Based-Sentiment-Analysis-with-LLMs/distribucio-codi-i-dades-12-03-26/ABSA/dataset/devel.json, /Users/rogerbaigess/Desktop/IA/4t/GML/Aspect-Based-Sentiment-Analysis-with-LLMs/distribucio-codi-i-dades-12-03-26/ABSA/dataset/train.json, /Users/rogerbaigess/Desktop/IA/4t/GML/Aspect-Based-Sentiment-Analysis-with-LLMs/distribucio-codi-i-dades-12-03-26/ABSA/outputs/baselines/top2_majority.devel.json                   , 67.04545454545455 , 44.319985569985555, 50.36375661375663, 67.04545454545455 , 38.986784140969164, 49.30362116991644,       264,      454, 177
top5_positive                   , /Users/rogerbaigess/Desktop/IA/4t/GML/Aspect-Based-Sentiment-Analysis-with-LLMs/distribucio-codi-i-dades-12-03-26/ABSA/dataset/devel.json, /Users/rogerbaigess/Desktop/IA/4t/GML/Aspect-Based-Sentiment-Analysis-with-LLMs/distribucio-codi-i-dades-12-03-26/ABSA/dataset/train.json, /Users/rogerbaigess/Desktop/IA/4t/GML/Aspect-Based-Sentiment-Analysis-with-LLMs/distribucio-codi-i-dades-12-03-26/ABSA/outputs/baselines/top5_positive.devel.json                   , 43.484848484848484, 65.8053751803752  , 50.18132120404846, 43.484848484848484, 63.215859030837   , 51.52603231597846,       660,      454, 287
top5_majority                   , /Users/rogerbaigess/Desktop/IA/4t/GML/Aspect-Based-Sentiment-Analysis-with-LLMs/distribucio-codi-i-dades-12-03-26/ABSA/dataset/devel.json, /Users/rogerbaigess/Desktop/IA/4t/GML/Aspect-Based-Sentiment-Analysis-with-LLMs/distribucio-codi-i-dades-12-03-26/ABSA/dataset/train.json, /Users/rogerbaigess/Desktop/IA/4t/GML/Aspect-Based-Sentiment-Analysis-with-LLMs/distribucio-codi-i-dades-12-03-26/ABSA/outputs/baselines/top5_majority.devel.json                   , 43.484848484848484, 65.8053751803752  , 50.18132120404846, 43.484848484848484, 63.215859030837   , 51.52603231597846,       660,      454, 287
top8_positive                   , /Users/rogerbaigess/Desktop/IA/4t/GML/Aspect-Based-Sentiment-Analysis-with-LLMs/distribucio-codi-i-dades-12-03-26/ABSA/dataset/devel.json, /Users/rogerbaigess/Desktop/IA/4t/GML/Aspect-Based-Sentiment-Analysis-with-LLMs/distribucio-codi-i-dades-12-03-26/ABSA/dataset/train.json, /Users/rogerbaigess/Desktop/IA/4t/GML/Aspect-Based-Sentiment-Analysis-with-LLMs/distribucio-codi-i-dades-12-03-26/ABSA/outputs/baselines/top8_positive.devel.json                   , 29.829545454545453, 70.73683261183263 , 40.50990465763195, 29.829545454545453, 69.38325991189427 , 41.72185430463576,      1056,      454, 315
